canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
M,1,1,['M'],Unknown,Unknown,Unknown,0,0,0,Unknown
R,1,1,['R'],Unknown,Unknown,Unknown,0,0,0,Unknown
Quincey_P._Morris,1,1,[' Quincey P. Morris'],Unknown,Unknown,Unknown,0,0,0,Unknown
Judas,1,1,['Judas'],Unknown,Unknown,Male,3,0,1,Male
Peter,1,1,['Peter'],Male,Male,Unknown,0,0,0,Male
Romanoffs,1,1,['Romanoffs'],Unknown,Unknown,Unknown,0,0,1,Unknown
Cassova,1,1,['Cassova'],Unknown,Unknown,Unknown,0,0,1,Unknown
Attila,1,1,['Attila'],Unknown,Unknown,Unknown,0,0,2,Unknown
Wodin,1,1,['Wodin'],Unknown,Unknown,Unknown,0,0,1,Unknown
Purfleet,1,1,['Purfleet'],Unknown,Unknown,Male,2,0,6,Male
Harker_Jonathan,1,1,['Harker Jonathan'],Unknown,Unknown,Unknown,0,0,0,Unknown
Lenore,1,1,['Lenore'],Unknown,Unknown,Unknown,0,0,1,Unknown
Burger,1,1,['Burger'],Unknown,Unknown,Unknown,0,0,1,Unknown
Caffyn,1,1,['Caffyn'],Unknown,Unknown,Unknown,0,0,1,Unknown
Crescent,1,1,['Crescent'],Unknown,Unknown,Unknown,1,0,6,Unknown
Hardy,1,1,['Hardy'],Unknown,Unknown,Unknown,0,0,1,Unknown
S,1,1,['S'],Unknown,Unknown,Unknown,0,0,0,Unknown
Patrick_Hennessey,1,1,['Patrick Hennessey'],Male,Male,Unknown,0,0,0,Male
Old_Bilder,1,1,['Old Bilder'],Unknown,Unknown,Unknown,0,0,0,Unknown
Red_Riding_Hood,1,1,['Red Riding Hood'],Unknown,Unknown,Unknown,0,0,0,Unknown
Bilder,1,1,['Bilder'],Unknown,Unknown,Male,9,0,6,Male
Thomas_Bilder,1,1,['Thomas Bilder'],Male,Male,Unknown,0,0,0,Male
Ophelia,1,1,['Ophelia'],Unknown,Unknown,Unknown,0,0,1,Unknown
Vanderpool,1,1,['Vanderpool'],Unknown,Unknown,Unknown,1,0,1,Unknown
Love,1,1,['Love'],Unknown,Unknown,Male,73,34,84,Male
Madame,1,1,['Madame'],Female,Female,Unknown,0,0,0,Female
Dame_Nature,1,1,['Dame Nature'],Female,Female,Unknown,0,0,0,Female
Holmwood,1,1,['Holmwood'],Unknown,Unknown,Male,14,9,18,Male
Telegram,1,1,['Telegram'],Unknown,Unknown,Male,16,1,19,Male
Zoöphagous,1,1,['Zoöphagous'],Unknown,Unknown,Male,13,0,5,Male
Wire,1,1,['Wire'],Unknown,Unknown,Male,7,2,10,Male
Write,1,1,['Write'],Unknown,Unknown,Male,39,9,63,Male
Disraeli,1,1,['Disraeli'],Unknown,Unknown,Unknown,0,0,1,Unknown
Agatha,1,1,['Agatha'],Unknown,Unknown,Male,8,3,5,Male
Jack_Sheppard,1,1,['Jack Sheppard'],Unknown,Unknown,Unknown,0,0,0,Unknown
Wilhelmina_Murray,1,1,['Wilhelmina Murray'],Unknown,Unknown,Unknown,0,0,0,Unknown
Joy,1,1,['Joy'],Unknown,Unknown,Male,8,5,16,Male
Rose,1,1,['Rose'],Female,Female,Unknown,0,0,0,Female
Mackenzie,1,1,['Mackenzie'],Unknown,Unknown,Unknown,0,0,2,Unknown
Spohr,1,1,['Spohr'],Unknown,Unknown,Unknown,0,0,1,Unknown
Olgaren,1,1,['Olgaren'],Unknown,Unknown,Unknown,1,0,1,Unknown
Abramoff,1,1,['Abramoff'],Unknown,Unknown,Unknown,0,0,1,Unknown
Petrofsky,1,1,['Petrofsky'],Unknown,Unknown,Unknown,0,0,1,Unknown
F,1,1,['F'],Unknown,Unknown,Unknown,0,0,0,Unknown
Bistritza,1,1,['Bistritza'],Unknown,Unknown,Unknown,1,0,6,Unknown
